Wall time,Step,Value
1629387574.9897,0,692.0
1629388026.1947641,1,760.0
1629388423.9663823,2,625.0
1629388793.6875982,3,652.0
1629389155.4224617,4,681.0
1629389417.7132063,5,496.0
1629389695.0897188,6,551.0
1629389978.986736,7,600.0
1629390181.1308124,8,432.0
1629390449.2645063,9,572.0
1629390649.5850291,10,502.0
1629390858.0952635,11,511.0
1629391117.1245592,12,722.0
1629391513.9372613,13,1057.0
1629391695.7388268,14,388.0
1629391857.377455,15,406.0
1629392013.0149999,16,403.0
1629392225.724495,17,630.0
1629392376.2554383,18,461.0
1629392587.7901087,19,623.0
1629392860.6892765,20,808.0
1629393045.957444,21,585.0
1629393393.164781,22,1139.0
1629393734.5564768,23,1059.0
1629393895.2175224,24,497.0
1629394043.8552148,25,447.0
1629394263.5511713,26,717.0
1629394387.322266,27,411.0
1629394662.6375406,28,1091.0
1629394924.5939271,29,1096.0
1629395197.1341784,30,1121.0
1629395454.140637,31,1083.0
1629395733.8010604,32,1086.0
1629395986.2141724,33,1089.0
1629396123.4046583,34,590.0
1629396345.9893749,35,959.0
1629396607.2314093,36,1099.0
1629396829.887093,37,881.0
1629397126.3553238,38,1194.0
1629397399.1071048,39,1095.0
1629397633.9537427,40,1110.0
1629397877.8256812,41,1098.0
1629398116.1859303,42,1103.0
1629398373.1609986,43,1093.0
1629398615.3542771,44,1091.0
1629398848.3429272,45,1116.0
1629399097.3487117,46,1090.0
1629399352.8725383,47,1114.0
1629399576.740767,48,1106.0
1629399791.1934125,49,1082.0
1629399998.199734,50,1112.0
1629400206.769154,51,1117.0
1629400394.0068364,52,1089.0
1629400571.6510491,53,1105.0
1629400755.1854002,54,1102.0
1629400939.7843838,55,1083.0
1629401151.4086316,56,1107.0
1629401345.4142842,57,1116.0
1629401538.543196,58,1081.0
1629401732.2692397,59,1105.0
1629401910.5815113,60,1106.0
1629402074.489678,61,1107.0
1629402248.9323792,62,1112.0
1629402412.5015697,63,1081.0
1629402572.6495461,64,1120.0
1629402730.942699,65,1062.0
1629402904.2918282,66,1132.0
1629403071.92679,67,1087.0
1629403237.5291483,68,1095.0
1629403397.9895532,69,1119.0
1629403549.9697413,70,1094.0
1629403700.1141803,71,1097.0
1629403855.3618271,72,1100.0
1629404026.5893486,73,1119.0
1629404192.935479,74,1087.0
1629404354.1320837,75,1093.0
1629404517.4767106,76,1099.0
1629404682.1719987,77,1116.0
1629404840.9897187,78,1100.0
1629405000.3163357,79,1090.0
1629405155.9435449,80,1112.0
1629405314.5872352,81,1109.0
1629405459.5657177,82,1081.0
1629405617.7436607,83,1093.0
1629405776.8001375,84,1112.0
1629405913.2654238,85,1104.0
1629406060.2137005,86,1097.0
1629406208.8310099,87,1095.0
1629406358.3941827,88,1118.0
1629406507.1356695,89,1078.0
1629406653.7882023,90,1105.0
1629406798.7798533,91,1107.0
1629406950.74169,92,1099.0
1629407098.265958,93,1095.0
1629407242.164926,94,1100.0
1629407385.366803,95,1110.0
1629407531.4008932,96,1106.0
1629407672.2350094,97,1079.0
1629407811.6122835,98,1104.0
1629407955.2669165,99,1095.0
1629408098.1390567,100,1108.0
1629408242.6536076,101,1116.0
1629408383.6880374,102,1086.0
1629408532.9507637,103,1103.0
1629408676.982993,104,1097.0
1629408822.7929258,105,1092.0
1629408957.926373,106,1119.0
1629409092.85367,107,1102.0
1629409234.6502643,108,1078.0
1629409356.486612,109,1113.0
1629409489.315927,110,1104.0
1629409629.0964131,111,1094.0
1629409768.7933075,112,1100.0
