Wall time,Step,Value
1629387569.5423002,0,673.0
1629388146.758122,1,585.0
1629388667.833806,2,659.0
1629389015.8496053,3,416.0
1629389355.7743168,4,455.0
1629389659.571033,5,445.0
1629389897.443491,6,387.0
1629390266.0481493,7,519.0
1629390659.550826,8,683.0
1629391026.9237576,9,688.0
1629391404.2335305,10,785.0
1629391933.784889,11,1113.0
1629392276.2522366,12,763.0
1629392717.846909,13,942.0
1629393184.690674,14,1107.0
1629393619.246862,15,1116.0
1629394020.6363213,16,1104.0
1629394408.9029636,17,1117.0
1629394746.4327433,18,1076.0
1629395067.8707633,19,1140.0
1629395380.3686314,20,1092.0
1629395675.5853744,21,1105.0
1629395974.633525,22,1095.0
1629396258.3665159,23,1101.0
1629396534.5547426,24,1105.0
1629396822.9253314,25,1102.0
1629397113.7089214,26,1095.0
1629397392.1055694,27,1115.0
1629397663.5512435,28,1105.0
1629397927.2661865,29,1098.0
1629398199.0325158,30,1106.0
1629398458.802362,31,1095.0
1629398705.455894,32,1091.0
1629398968.971697,33,1111.0
1629399221.7064679,34,1101.0
1629399483.171109,35,1083.0
1629399744.0104797,36,1121.0
1629399990.9846344,37,1099.0
1629400246.174365,38,1091.0
1629400497.3615413,39,1104.0
1629400744.3241787,40,1100.0
1629400987.724671,41,1110.0
1629401222.2605371,42,1091.0
1629401463.806738,43,1104.0
1629401704.4678235,44,1096.0
1629401940.1990736,45,1098.0
1629402179.0011835,46,1103.0
1629402406.7061002,47,1107.0
1629402641.2377079,48,1103.0
1629402862.8539326,49,1088.0
1629403084.6115143,50,1116.0
1629403308.0731328,51,1096.0
1629403522.465759,52,1109.0
1629403733.5324306,53,1084.0
1629403944.045074,54,1101.0
1629404151.8300595,55,1095.0
1629404371.3935215,56,1106.0
1629404577.6698427,57,1121.0
1629404785.2207391,58,1085.0
1629404992.201522,59,1111.0
1629405188.9807177,60,1086.0
1629405392.083823,61,1108.0
1629405582.6225047,62,1109.0
1629405772.9894712,63,1084.0
1629405964.265631,64,1117.0
1629406153.5657136,65,1073.0
1629406355.9230592,66,1121.0
1629406553.409442,67,1093.0
1629406740.930483,68,1096.0
1629406950.0448596,69,1108.0
1629407117.6078167,70,1093.0
1629407314.1328223,71,1092.0
1629407511.495783,72,1109.0
1629407710.354803,73,1114.0
1629407908.2615833,74,1091.0
1629408100.3841054,75,1091.0
1629408301.4449365,76,1100.0
1629408496.981747,77,1115.0
1629408698.933381,78,1098.0
1629408888.705604,79,1098.0
1629409078.605243,80,1106.0
1629409273.738244,81,1096.0
1629409460.1001892,82,1101.0
1629409659.1274238,83,1084.0
1629409860.6110137,84,1109.0
1629410055.9117918,85,1100.0
1629410245.5448382,86,1103.0
1629410434.1083312,87,1096.0
1629410629.0301774,88,1109.0
1629410822.4318664,89,1098.0
1629411012.0845556,90,1093.0
1629411201.69447,91,1103.0
1629411393.5691473,92,1099.0
1629411583.3799753,93,1100.0
1629411779.215673,94,1098.0
1629411968.988772,95,1109.0
1629412161.20749,96,1103.0
1629412344.7299187,97,1083.0
1629412530.0008237,98,1104.0
1629412720.474051,99,1094.0
1629412907.8323603,100,1113.0
1629413094.2222636,101,1107.0
1629413282.4448206,102,1098.0
1629413476.0973022,103,1091.0
1629413673.1465416,104,1104.0
1629413861.6515436,105,1094.0
1629414054.8446965,106,1111.0
1629414246.0426753,107,1103.0
1629414434.9120326,108,1087.0
1629414618.6112597,109,1108.0
1629414810.3622181,110,1097.0
1629414983.7358305,111,1101.0
1629415169.7718542,112,1103.0
1629415360.4967284,113,1087.0
1629415541.5815103,114,1098.0
1629415738.0972283,115,1102.0
1629415927.8209178,116,1111.0
1629416120.6169727,117,1093.0
1629416308.1889863,118,1099.0
1629416501.997612,119,1117.0
1629416690.6181285,120,1086.0
1629416877.4259713,121,1086.0
1629417074.952913,122,1117.0
1629417258.5654216,123,1098.0
1629417446.7618709,124,1096.0
1629417630.6773937,125,1096.0
1629417819.879277,126,1106.0
1629418006.426965,127,1098.0
1629418195.479068,128,1115.0
1629418388.0017173,129,1079.0
1629418578.5746593,130,1119.0
1629418766.9790907,131,1096.0
1629418958.6703417,132,1103.0
1629419147.4793844,133,1092.0
1629419329.1644206,134,1097.0
1629419521.104465,135,1111.0
1629419707.903784,136,1084.0
1629419895.598391,137,1113.0
1629420082.873144,138,1085.0
1629420272.2966247,139,1122.0
1629420454.865479,140,1099.0
1629420647.987766,141,1088.0
